,AÑO,VUELTA,CODIGO_INEC,CANTON_CODIGO,CANTON_NOMBRE,PROVINCIA_NOMBRE,VOTOS_NULOS_M,VOTOS_NULOS_F,VOTOS_BLANCOS_M,VOTOS_BLANCOS_F,VC_NOBOA_M,VC_CORREA_M,VC_NOBOA_F,VC_CORREA_F,VC_GUTIERREZ_M,VC_DAMERVAL_M,VC_VITERI_M,VC_ROSERO_M,VC_ROLDOS_M,VC_SAGNAY_M,VC_VILLACIS_M,VC_MACAS_M,VC_TORRES_M,VC_PROAÑO_M,VC_LARREA_M,VC_GUTIERREZ_F,VC_DAMERVAL_F,VC_VITERI_F,VC_ROSERO_F,VC_ROLDOS_F,VC_SAGNAY_F,VC_VILLACIS_F,VC_MACAS_F,VC_TORRES_F,VC_PROAÑO_F,VC_LARREA_F,ELECTORES_M,ELECTORAS_F,VOTOS VALIDOS,VOTOS_INVALIDOS
10,2006,2,1003,40,COTACACHI,IMBABURA,0.0,0.0,179.0,247.0,2860.0,6059.0,2435.0,6152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14039.0,13591.0,17506.0,426.0
11,2006,2,AT,41,AUSTRIA,EUROPA ASIA Y OCEANIA,0.0,0.0,1.0,1.0,3.0,22.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,43.0,56.0,2.0
12,2006,2,1002,45,ANTONIO ANTE,IMBABURA,0.0,0.0,73.0,95.0,3100.0,6229.0,3043.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12907.0,14176.0,19572.0,168.0
13,2006,2,1005,50,PIMAMPIRO,IMBABURA,0.0,0.0,63.0,63.0,1554.0,2589.0,1446.0,2369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6024.0,5823.0,7958.0,126.0
14,2006,2,BE,51,BELGICA,EUROPA ASIA Y OCEANIA,0.0,0.0,1.0,0.0,14.0,28.0,27.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,147.0,118.0,1.0
15,2006,2,1006,55,SAN MIGUEL DE URCUQUI,IMBABURA,0.0,0.0,62.0,98.0,1575.0,2455.0,1353.0,2485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5876.0,5814.0,7868.0,160.0
16,2006,2,1701,60,DISTRITO METROPOLITANO DE QUITO,PICHINCHA,0.0,0.0,2275.0,2283.0,131058.0,333993.0,121487.0,380984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658649.0,712964.0,967522.0,4558.0
17,2006,2,BO,61,BOLIVIA,AMERICA LATINA EL CARIBE Y AFRICA,0.0,0.0,0.0,0.0,4.0,5.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,25.0,25.0,0.0
18,2006,2,1702,65,CAYAMBE,PICHINCHA,0.0,0.0,193.0,368.0,5424.0,11165.0,5068.0,12034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22153.0,23629.0,33691.0,561.0
19,2006,2,1703,70,MEJIA,PICHINCHA,0.0,0.0,109.0,133.0,4757.0,10674.0,4316.0,11985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20579.0,22020.0,31732.0,242.0
20,2006,2,BR,71,BRASIL,AMERICA LATINA EL CARIBE Y AFRICA,0.0,0.0,0.0,0.0,4.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,19.0,0.0
21,2006,2,1704,75,PEDRO MONCAYO,PICHINCHA,0.0,0.0,67.0,112.0,1782.0,3656.0,1580.0,4225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7475.0,8003.0,11243.0,179.0
22,2006,2,1705,80,RUMINAHUI,PICHINCHA,0.0,0.0,86.0,81.0,6016.0,12964.0,5221.0,14547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24924.0,26432.0,38748.0,167.0
23,2006,2,CA,81,CANADA,EE.UU CANADA,0.0,0.0,2.0,0.0,103.0,159.0,109.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,496.0,527.0,2.0
24,2006,2,2301,85,SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS,0.0,0.0,777.0,825.0,32318.0,44698.0,29414.0,45372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113832.0,109544.0,151802.0,1602.0
25,2006,2,1809,90,TISALEO,TUNGURAHUA,0.0,0.0,25.0,21.0,955.0,2002.0,818.0,2098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3931.0,3986.0,5873.0,46.0
26,2006,2,CO,91,COLOMBIA,AMERICA LATINA EL CARIBE Y AFRICA,0.0,0.0,0.0,1.0,44.0,41.0,27.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,110.0,151.0,1.0
