,AÑO,VUELTA,CANTON_CODIGO,VOTOS_NULOS_M,VOTOS_NULOS_F,VOTOS_BLANCOS_M,VOTOS_BLANCOS_F,VC_BORJA_M,VC_VELAZQUEZ_M,VC_VARGAS_M,VC_HURTADO_M,VC_ROLDOS_M,VC_NOBOA_M,VC_NEIRA_M,VC_ALARCON_M,VC_JUEZ_M,VC_BUCARAM_M,VC_GUTIERREZ_M,VC_BORJA_F,VC_VELAZQUEZ_F,VC_VARGAS_F,VC_HURTADO_F,VC_ROLDOS_F,VC_NOBOA_F,VC_NEIRA_F,VC_ALARCON_F,VC_JUEZ_F,VC_BUCARAM_F,VC_GUTIERREZ_F,ELECTORES_M,ELECTORAS_F,VOTOS VALIDOS,VOTOS_INVALIDOS,CANTON_NOMBRE,PROVINCIA_NOMBRE
63,2002,1,311,117.0,114.0,152.0,125.0,78.0,7.0,6.0,5.0,102.0,123.0,179.0,4.0,13.0,136.0,280.0,71.0,2.0,3.0,7.0,108.0,94.0,192.0,6.0,11.0,120.0,236.0,2249.0,2074.0,1783.0,508.0,OLMEDO,LOJA
64,2002,1,315,155.0,207.0,204.0,209.0,243.0,6.0,2.0,12.0,524.0,177.0,241.0,13.0,14.0,173.0,588.0,230.0,2.0,3.0,6.0,613.0,134.0,234.0,10.0,22.0,109.0,569.0,4438.0,4548.0,3925.0,775.0,CELICA,LOJA
65,2002,1,320,381.0,505.0,453.0,494.0,565.0,54.0,13.0,20.0,664.0,628.0,453.0,11.0,41.0,540.0,848.0,611.0,36.0,7.0,31.0,765.0,686.0,445.0,17.0,89.0,553.0,881.0,10612.0,10702.0,7958.0,1833.0,CALVAS,LOJA
66,2002,1,325,203.0,232.0,221.0,255.0,756.0,15.0,2.0,30.0,398.0,325.0,113.0,8.0,168.0,710.0,467.0,800.0,13.0,4.0,20.0,450.0,294.0,109.0,5.0,224.0,569.0,438.0,6935.0,6498.0,5918.0,911.0,MACARA,LOJA
67,2002,1,330,238.0,290.0,382.0,365.0,315.0,16.0,9.0,11.0,472.0,215.0,287.0,7.0,106.0,298.0,756.0,288.0,8.0,6.0,15.0,570.0,181.0,244.0,7.0,107.0,227.0,730.0,6215.0,6108.0,4875.0,1275.0,PUYANGO,LOJA
68,2002,1,335,256.0,336.0,266.0,258.0,261.0,19.0,6.0,24.0,544.0,477.0,403.0,5.0,45.0,162.0,338.0,286.0,12.0,6.0,21.0,629.0,379.0,362.0,4.0,53.0,131.0,345.0,5632.0,5404.0,4512.0,1116.0,GONZANAMA,LOJA
69,2002,1,340,176.0,227.0,384.0,421.0,323.0,13.0,3.0,23.0,410.0,293.0,243.0,4.0,70.0,200.0,361.0,327.0,12.0,8.0,19.0,400.0,290.0,253.0,10.0,69.0,143.0,235.0,5674.0,5436.0,3709.0,1208.0,ESPINDOLA,LOJA
70,2002,1,345,86.0,130.0,149.0,185.0,132.0,6.0,5.0,6.0,115.0,134.0,288.0,3.0,12.0,43.0,109.0,146.0,7.0,2.0,8.0,164.0,150.0,302.0,2.0,32.0,48.0,97.0,2883.0,2590.0,1811.0,550.0,SOZORANGA,LOJA
71,2002,1,350,2795.0,3517.0,1046.0,921.0,1740.0,1244.0,143.0,234.0,9538.0,4592.0,3803.0,222.0,494.0,6860.0,12007.0,1858.0,957.0,160.0,232.0,12036.0,4080.0,3894.0,210.0,1197.0,6478.0,10180.0,71441.0,70497.0,82159.0,8279.0,MACHALA,EL ORO
72,2002,1,355,752.0,1043.0,380.0,313.0,485.0,184.0,59.0,52.0,1774.0,1430.0,739.0,29.0,138.0,3074.0,3645.0,565.0,137.0,22.0,55.0,2412.0,1439.0,785.0,17.0,265.0,2594.0,3418.0,21507.0,20465.0,23318.0,2488.0,SANTA ROSA,EL ORO
73,2002,1,360,398.0,494.0,237.0,249.0,644.0,95.0,19.0,48.0,1382.0,427.0,400.0,11.0,39.0,585.0,966.0,578.0,62.0,15.0,32.0,1741.0,366.0,335.0,56.0,62.0,457.0,635.0,9161.0,8684.0,8955.0,1378.0,ZARUMA,EL ORO
74,2002,1,365,1121.0,1525.0,532.0,426.0,804.0,321.0,46.0,65.0,2223.0,1440.0,1063.0,78.0,126.0,3616.0,3848.0,754.0,248.0,19.0,84.0,2903.0,1272.0,1052.0,53.0,280.0,2777.0,3123.0,25033.0,23306.0,26195.0,3604.0,PASAJE,EL ORO
75,2002,1,370,394.0,492.0,239.0,209.0,515.0,67.0,26.0,46.0,1240.0,323.0,392.0,15.0,35.0,700.0,1057.0,546.0,53.0,19.0,48.0,1767.0,332.0,361.0,12.0,72.0,546.0,789.0,9274.0,8784.0,8961.0,1334.0,PINAS,EL ORO
76,2002,1,375,259.0,343.0,177.0,158.0,237.0,77.0,16.0,22.0,529.0,449.0,319.0,9.0,29.0,937.0,1514.0,226.0,68.0,4.0,20.0,632.0,371.0,280.0,3.0,76.0,775.0,1414.0,7165.0,6701.0,8007.0,937.0,ARENILLAS,EL ORO
77,2002,1,380,523.0,660.0,288.0,224.0,333.0,62.0,41.0,24.0,912.0,417.0,806.0,19.0,56.0,3736.0,1473.0,256.0,60.0,28.0,16.0,1178.0,318.0,940.0,12.0,102.0,2918.0,1099.0,13749.0,11185.0,14806.0,1695.0,EL GUABO,EL ORO
78,2002,1,385,1246.0,1451.0,1044.0,1007.0,338.0,130.0,26.0,23.0,881.0,3169.0,2256.0,36.0,90.0,2440.0,1304.0,332.0,95.0,29.0,18.0,1217.0,2776.0,2299.0,37.0,239.0,1887.0,948.0,23441.0,21326.0,20570.0,4748.0,EL EMPALME,GUAYAS
79,2002,1,390,27437.0,35961.0,9861.0,9264.0,14830.0,17399.0,1386.0,1450.0,64479.0,95497.0,104098.0,1340.0,5845.0,45281.0,41341.0,15322.0,14327.0,922.0,1580.0,77302.0,85956.0,130899.0,1157.0,10527.0,42867.0,28076.0,657026.0,705667.0,801881.0,82523.0,GUAYAQUIL,GUAYAS
80,2002,1,395,711.0,836.0,519.0,392.0,247.0,98.0,23.0,12.0,465.0,1656.0,1152.0,38.0,61.0,2087.0,1141.0,275.0,102.0,11.0,16.0,627.0,1499.0,1370.0,22.0,149.0,1854.0,855.0,13422.0,12293.0,13760.0,2458.0,YAGUACHI,GUAYAS
81,2002,1,400,2436.0,2775.0,2046.0,1717.0,455.0,216.0,69.0,53.0,1055.0,6534.0,5025.0,70.0,174.0,4364.0,1432.0,402.0,188.0,55.0,34.0,1488.0,5755.0,5768.0,69.0,257.0,3361.0,966.0,34930.0,32480.0,37790.0,8974.0,DAULE,GUAYAS
82,2002,1,405,525.0,805.0,288.0,341.0,522.0,122.0,30.0,29.0,2089.0,3367.0,1496.0,9.0,73.0,904.0,355.0,550.0,71.0,15.0,29.0,2600.0,3148.0,1609.0,15.0,89.0,777.0,277.0,12591.0,12524.0,18176.0,1959.0,SALINAS,GUAYAS
83,2002,1,410,1778.0,2485.0,1479.0,1858.0,1261.0,227.0,184.0,82.0,6017.0,7019.0,2263.0,99.0,167.0,4848.0,918.0,1137.0,168.0,133.0,91.0,6762.0,5826.0,2509.0,56.0,247.0,3753.0,565.0,33362.0,31857.0,44332.0,7600.0,SANTA ELENA,GUAYAS
84,2002,1,415,1048.0,1369.0,1177.0,846.0,347.0,116.0,16.0,33.0,881.0,2285.0,1651.0,35.0,81.0,2530.0,1024.0,377.0,97.0,35.0,30.0,1019.0,1862.0,1836.0,47.0,169.0,1821.0,609.0,18295.0,16564.0,16901.0,4440.0,BALZAR,GUAYAS
