,AÑO,VUELTA,CANTON_CODIGO,VOTOS_NULOS_M,VOTOS_NULOS_F,VOTOS_BLANCOS_M,VOTOS_BLANCOS_F,VC_NOBOA_M,VC_GUTIERREZ_M,VC_NOBOA_F,VC_GUTIERREZ_F,ELECTORES_M,ELECTORAS_F,VOTOS VALIDOS,VOTOS_INVALIDOS,CANTON_NOMBRE,PROVINCIA_NOMBRE
51,2002,2,255,69.0,70.0,9.0,9.0,153.0,1196.0,127.0,1015.0,1816.0,1622.0,2491.0,157.0,EL CHACO,NAPO
52,2002,2,260,10959.0,15079.0,620.0,1012.0,18507.0,57496.0,21708.0,70898.0,139212.0,150436.0,168609.0,27670.0,CUENCA,AZUAY
53,2002,2,265,762.0,1358.0,94.0,242.0,879.0,4688.0,1298.0,6569.0,13642.0,14161.0,13434.0,2456.0,GUALACEO,AZUAY
54,2002,2,270,228.0,368.0,14.0,46.0,408.0,1547.0,635.0,2232.0,5727.0,5873.0,4822.0,656.0,GIRON,AZUAY
55,2002,2,275,470.0,785.0,38.0,101.0,605.0,3505.0,723.0,4335.0,8379.0,8693.0,9168.0,1394.0,PAUTE,AZUAY
56,2002,2,280,449.0,991.0,62.0,111.0,482.0,3536.0,722.0,5124.0,8616.0,9694.0,9864.0,1613.0,SIGSIG,AZUAY
57,2002,2,285,275.0,438.0,30.0,79.0,810.0,2774.0,1056.0,2871.0,6714.0,6402.0,7511.0,822.0,STA.ISABEL,AZUAY
58,2002,2,290,274.0,438.0,26.0,33.0,1850.0,3085.0,2089.0,3023.0,8509.0,8662.0,10047.0,771.0,CATAMAYO,LOJA
59,2002,2,295,71.0,109.0,20.0,23.0,887.0,1240.0,829.0,866.0,3601.0,3145.0,3822.0,223.0,ZAPOTILLO,LOJA
60,2002,2,300,3960.0,5213.0,308.0,359.0,12919.0,21779.0,16105.0,23498.0,58198.0,65137.0,74301.0,9840.0,LOJA,LOJA
61,2002,2,305,434.0,729.0,44.0,107.0,1134.0,3702.0,1396.0,3631.0,9098.0,9625.0,9863.0,1314.0,SARAGURO,LOJA
62,2002,2,310,356.0,396.0,30.0,59.0,1142.0,3720.0,1220.0,3609.0,8910.0,8845.0,9691.0,841.0,PALTAS,LOJA
63,2002,2,311,83.0,108.0,4.0,20.0,254.0,1032.0,287.0,859.0,2249.0,2074.0,2432.0,215.0,OLMEDO,LOJA
64,2002,2,315,130.0,204.0,20.0,24.0,738.0,1687.0,787.0,1601.0,4438.0,4548.0,4813.0,378.0,CELICA,LOJA
65,2002,2,320,284.0,481.0,68.0,46.0,1336.0,3397.0,1631.0,3421.0,10612.0,10702.0,9785.0,879.0,CALVAS,LOJA
66,2002,2,325,172.0,261.0,33.0,36.0,1332.0,2094.0,1472.0,2004.0,6935.0,6498.0,6902.0,502.0,MACARA,LOJA
67,2002,2,330,245.0,323.0,37.0,48.0,691.0,2580.0,737.0,2359.0,6215.0,6108.0,6367.0,653.0,PUYANGO,LOJA
68,2002,2,335,170.0,273.0,18.0,18.0,926.0,1922.0,943.0,1795.0,5632.0,5404.0,5586.0,479.0,GONZANAMA,LOJA
69,2002,2,340,114.0,222.0,25.0,23.0,722.0,1764.0,840.0,1474.0,5674.0,5436.0,4800.0,384.0,ESPINDOLA,LOJA
70,2002,2,345,60.0,110.0,8.0,9.0,302.0,882.0,352.0,879.0,2883.0,2590.0,2415.0,187.0,SOZORANGA,LOJA
71,2002,2,350,3802.0,5070.0,354.0,285.0,18660.0,25049.0,18930.0,24724.0,71441.0,70497.0,87363.0,9511.0,MACHALA,EL ORO
