Column1;PROVINCIA_CODIGO;PROVINCIA_NOMBRE;CANTON_CODIGO;CANTON_NOMBRE;DPA_CANTON
89;9;GUAYAS;430;SALITRE;0919
83;9;GUAYAS;435;NARANJAL;0911
133;13;MANABI;440;PORTOVIEJO;1301
142;13;MANABI;445;MONTECRISTI;1309
153;13;MANABI;446;JARAMIJÓ;1321
141;13;MANABI;450;MANTA;1308
138;13;MANABI;455;JIPIJAPA;1306
149;13;MANABI;460;24 DE MAYO;1316
145;13;MANABI;465;ROCAFUERTE;1312
146;13;MANABI;470;SANTA ANA;1313
147;13;MANABI;475;SUCRE;1314
152;13;MANABI;476;JAMA;1320
154;13;MANABI;477;SAN VICENTE;1322
135;13;MANABI;480;CHONE;1303
134;13;MANABI;485;BOLÍVAR;1302
139;13;MANABI;490;JUNÍN;1307
143;13;MANABI;495;PAJÁN;1310
136;13;MANABI;500;EL CARMEN;1304
81;9;GUAYAS;505;EL TRIUNFO;0909
84;9;GUAYAS;510;NARANJITO;0912
120;12;LOS RIOS;515;BABAHOYO;1201
130;12;LOS RIOS;516;VALENCIA;1211
121;12;LOS RIOS;520;BABA;1202
127;12;LOS RIOS;525;VINCES;1208
123;12;LOS RIOS;530;PUEBLOVIEJO;1204
125;12;LOS RIOS;535;URDANETA;1206
124;12;LOS RIOS;540;QUEVEDO;1205
126;12;LOS RIOS;545;VENTANAS;1207
148;13;MANABI;550;TOSAGUA;1315
5;1;AZUAY;555;PUCARÁ;0106
14;1;AZUAY;556;CAMILO PONCE ENRÍQUEZ;0115
66;8;ESMERALDAS;560;ESMERALDAS;0801
72;8;ESMERALDAS;561;RIOVERDE;0807
67;8;ESMERALDAS;565;ELOY ALFARO;0802
68;8;ESMERALDAS;570;MUISNE;0803
69;8;ESMERALDAS;575;QUININDÉ;0804
70;8;ESMERALDAS;580;SAN LORENZO;0805
56;7;EL ORO;585;CHILLA;0705
155;14;MORONA SANTIAGO;590;MORONA;1401
156;14;MORONA SANTIAGO;595;GUALAQUIZA;1402
157;14;MORONA SANTIAGO;600;LIMÓN INDANZA;1403
159;14;MORONA SANTIAGO;605;SANTIAGO;1405
160;14;MORONA SANTIAGO;610;SUCÚA;1406
164;14;MORONA SANTIAGO;611;LOGROÑO;1410
158;14;MORONA SANTIAGO;615;PALORA;1404
167;15;NAPO;620;TENA;1501
171;15;NAPO;621;CARLOS JULIO AROSEMENA TOLA;1509
205;21;SUCUMBIOS;625;LAGO AGRIO;2101
211;21;SUCUMBIOS;626;CUYABENO;2107
213;22;ORELLANA;630;AGUARICO;2202
170;15;NAPO;635;QUIJOS;1507
209;21;SUCUMBIOS;640;SUCUMBÍOS;2105
212;22;ORELLANA;645;FRANCISCO DE ORELLANA;2201
207;21;SUCUMBIOS;650;PUTUMAYO;2103
193;19;ZAMORA CHINCHIPE;655;ZAMORA;1901
194;19;ZAMORA CHINCHIPE;660;CHINCHIPE;1902
