,OP_CODIGO,OP_PROVINCIA_CODIGO,OP_CANTON_CODIGO,OP_PARROQUIA_CODIGO,OP_TIPO,OP_AMBITO,OP_NOMBRE,OP_SIGLAS,OP_LISTA
15,20.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO RENOVACION DEMOCRATICA,MRD,20
16,21.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO CIUDADANOS NUEVO PAIS,MCNP,21
17,22.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO TRANSFORMACION SOCIAL INDEPENDIENTE,TSI,22
18,23.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO NUEVO AMANECER,MNA,23
19,24.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO PATRIA SOLIDARIA,MPS,24
20,25.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO JUSTICIA,MJ,25
21,27.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO INQUILINOS POR LA PATRIA,MIPP,27
22,28.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO INDEPENDIENTE AMAUTA JATARI,MIAJ,28
23,29.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO INDEPENDIENTE NACIONAL POR LA CONCERTACION SOCIAL,MINCS,29
24,30.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO DE INTEGRACION NACIONAL - MIN,MIN,30
25,32.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO PATRIOTICO SIMON BOLIVAR,MPSM,32
26,34.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO POR LA SEGUNDA INDEPENDENCIA,MSI,34
27,35.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,PPPP,OPP,35
28,39.0,0.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO ESPERANZA TRANSFORMACION Y  ACCION,META,39
